Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status
CONV-0001,Account locked after failed sign-ins,Remove the stale saved password from Credential Manager.,127 minutes,Account,Resolved after follow-up
CONV-0002,Software installation failure,Run the installer as administrator with antivirus paused.,139 minutes,Software,Resolved after follow-up
CONV-0003,Software installation failure,Clear the installer cache and retry.,32 minutes,Software,Resolved after follow-up
CONV-0004,VPN disconnects every few minutes,Switch the VPN profile from UDP to TCP.,170 minutes,Network,Resolved
CONV-0005,Forgot password,"Unlock the account in the directory, then force a reset at next sign-in.",175 minutes,Account,Pending
CONV-0006,Application crashes on launch,Reset the application profile and clear its cache directory.,11 minutes,Software,Escalated
CONV-0007,Wi-Fi drops after waking from sleep,Disable power saving on the wireless adapter in Device Manager.,56 minutes,Network,Escalated
CONV-0008,Software installation failure,Run the installer as administrator with antivirus paused.,126 minutes,Software,Resolved
CONV-0009,Software installation failure,Install the missing runtime prerequisites first.,140 minutes,Software,Resolved
CONV-0010,Laptop will not charge,Reseat the charger and test a second power brick.,177 minutes,Hardware,Resolved
CONV-0011,Application crashes on launch,Reset the application profile and clear its cache directory.,149 minutes,Software,Escalated
CONV-0012,Wi-Fi drops after waking from sleep,Update the wireless driver to the current build.,88 minutes,Network,Pending
CONV-0013,Unable to access email,Re-add the mail profile and re-authenticate.,25 minutes,Account,Resolved after follow-up
CONV-0014,Wi-Fi drops after waking from sleep,Disable power saving on the wireless adapter in Device Manager.,82 minutes,Network,Resolved after follow-up
CONV-0015,Cannot connect to Wi-Fi,Restart your router.,8 minutes,Network,Resolved
CONV-0016,Cannot connect to Wi-Fi,"Forget the network and reconnect, then renew the DHCP lease.",109 minutes,Network,Resolved after follow-up
CONV-0017,Software installation failure,Clear the installer cache and retry.,180 minutes,Software,Resolved
CONV-0018,Wi-Fi drops after waking from sleep,Disable power saving on the wireless adapter in Device Manager.,11 minutes,Network,Escalated
CONV-0019,Wi-Fi drops after waking from sleep,Disable power saving on the wireless adapter in Device Manager.,33 minutes,Network,Resolved
CONV-0020,Account locked after failed sign-ins,Remove the stale saved password from Credential Manager.,53 minutes,Account,Pending
CONV-0021,Printer not responding,Clear the print spooler queue and restart the spooler service.,56 minutes,Hardware,Escalated
